type,title,platform,url
screenshot_thumbnail,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://images.kinguin.net/g/payment/media/images/banners/000_202504091503_38982596_833647691880071_381885124385437415_n.jpg
screenshot,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://static.kinguin.net/media/images/banners/000_202504091503_39031397_1707459330050855_4031238723920622655_n.jpg
screenshot_thumbnail,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://images.kinguin.net/g/payment/media/images/banners/000_202504091503_39031397_1707459330050855_4031238723920622655_n.jpg
cover,"5 x Deluxe Mystery PC Steam CD Key",Steam,https://static.kinguin.net/media/images/products/_800x700_deluxesteamrandom.jpg
thumbnail,"5 x Deluxe Mystery PC Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/thumbnail/9df78eab33525d08d6e5fb8d27136e95/prod-banner.jpg
screenshot,"5 x Deluxe Mystery PC Steam CD Key",Steam,https://static.kinguin.net/media/images/products/_1920x1080_deluxe_METASCORE.jpg
screenshot_thumbnail,"5 x Deluxe Mystery PC Steam CD Key",Steam,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/_1920x1080_deluxesteamrandom.jpg
screenshot,"5 x Deluxe Mystery PC Steam CD Key",Steam,https://static.kinguin.net/media/images/products/_1920x1080_deluxesteamrandom.jpg
screenshot_thumbnail,"5 x Deluxe Mystery PC Steam CD Key",Steam,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/_1920x1080_deluxe_METASCORE.jpg
cover,"5 x Diamond Mystery PC Steam CD Key",Steam,https://static.kinguin.net/media/images/products/_800x700_diamond.jpg
thumbnail,"5 x Diamond Mystery PC Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/thumbnail/9df78eab33525d08d6e5fb8d27136e95/random_1_.jpg
screenshot,"5 x Diamond Mystery PC Steam CD Key",Steam,https://static.kinguin.net/media/images/products/_1920x1080_diamond.jpg
screenshot_thumbnail,"5 x Diamond Mystery PC Steam CD Key",Steam,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/_1920x1080_diamond.jpg
cover,"5 x LEGO Mystery Steam CD Key",Steam,https://static.kinguin.net/media/images/products/000_202509151405_800x700.jpg
thumbnail,"5 x LEGO Mystery Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/thumbnail/9df78eab33525d08d6e5fb8d27136e95/random_1_.jpg
screenshot,"5 x LEGO Mystery Steam CD Key",Steam,https://static.kinguin.net/media/images/products/000_202509151405_1920x1080.jpg
screenshot_thumbnail,"5 x LEGO Mystery Steam CD Key",Steam,https://images.kinguin.net/g/payment/media/images/banners/_1920x1080LEGOrandom.png
cover,"5 x VR Mystery Steam CD Key",Steam,https://static.kinguin.net/media/images/products/000_202509151512_800x700vrrandomgame.jpg
thumbnail,"5 x VR Mystery Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/thumbnail/9df78eab33525d08d6e5fb8d27136e95/random_1_.jpg
screenshot,"5 x VR Mystery Steam CD Key",Steam,https://static.kinguin.net/media/images/products/000_202509151512_kvvrrandomgame1920x1080.jpg
screenshot_thumbnail,"5 x VR Mystery Steam CD Key",Steam,https://images.kinguin.net/g/payment/media/images/banners/_vrrandomgame1920.png
cover,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/images/products/_7daystodie123.jpg
thumbnail,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/thumbnail/9df78eab33525d08d6e5fb8d27136e95/7daystodie.jpg
screenshot,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/1/01_692.jpg
screenshot_thumbnail,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/1/cache/200x120/01_692.jpg
screenshot,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/2/02_678.jpg
